"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",51.3359610924307,0.32000759247406,75.2651631282148,160.421072186255,3.60417504510144e-97
"scale(z_score_age)",-1.91483785373909,0.106769174921246,74.8609063190519,-17.9343696825558,8.09444382982925e-29
"factor(gender)1",-2.31659404898225,0.119255073737568,72.3577728535696,-19.4255386909586,2.00289729214096e-30
"(Intercept)",51.9600797737636,0.295212816795988,80.6660426250755,176.008888562828,4.63935148259066e-106
"scale(z_score_age)",-1.41529259317682,0.0931022538334044,75.2037724050616,-15.2014858384558,1.22649496255873e-24
"factor(gender)1",-2.16897819164833,0.123338930931149,72.572594255633,-17.5855115272494,7.06024038306426e-28
"factor(children)1",-1.28565099703949,0.128570349264446,71.9526084051327,-9.99959169742273,2.9795908131838e-15
"factor(married)1",-0.830926953803246,0.0984407101716945,62.6096003689068,-8.44088743726038,6.34434244437081e-12
"factor(education)1",0.784884809250172,0.0649135377691192,142092.588318245,12.0912345286403,1.22070079049676e-33
"factor(employed)1",0.107999289541847,0.0860205609849156,72.2801904959109,1.2555055245546,0.213338971391622
"(Intercept)",51.219080913851,0.438123336437839,80.5498655488912,116.9056214405,1.11889078470797e-91
"scale(z_score_age)",-1.83390958428506,0.121718274314073,75.7906689462578,-15.0668385221513,1.68201736878881e-24
"factor(gender)1",-2.59748386078443,0.0761250654733173,113437.976461391,-34.1212693169358,6.97043180327987e-254
"factor(married)1",-0.810589836351682,0.0985095142237444,61.1547559063347,-8.22854363600445,1.74894054582938e-11
"factor(children)1",-1.31119371443187,0.129835160854977,75.029073647845,-10.0989108481673,1.24073038682757e-15
"factor(education)1",0.780941010926015,0.120478108653204,50.4064327924644,6.48201585878105,3.75337461591312e-08
"factor(employed)1",0.109536663837027,0.0830897222087008,72.0145543302782,1.31829377840376,0.191582996648786
"hardship_index",0.990006894855904,0.452261420387671,75.4046293095576,2.18901469421665,0.0316908056410127
"scale(z_score_age):hardship_index",0.597610025008951,0.128010126083091,74.3453925238684,4.66845899847834,1.31573297992103e-05
"hardship_index:factor(gender)1",0.699804049159133,0.0812004838230605,57907.9938981805,8.6182251165404,6.96817896026612e-18
